Age,Etablissement,Classe,Commune de  domicile,Temps_Maths(mn),Auto_eval_Maths,Temps_Sciences(mn),Temps_Francais(mn),Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,300.0,,1680.0,420.0,7.0,0.0,0.0,0.0,0.0,Université,1.0,Shimaoré,1.0,0.0
16.0,Lycée des Lumières,Seconde,Commune de Koungou,120.0,,240.0,120.0,5.0,0.0,0.0,0.0,1.0,BTS,0.0,Shimaoré,1.0,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,120.0,,180.0,240.0,7.0,1.0,0.0,0.0,0.0,Université ,0.0,Shimaoré,1.0,1.0
15.0,Lycée des Lumières,Seconde,Commune de Koungou,120.0,,60.0,120.0,8.0,0.0,0.0,1.0,1.0,Université,0.0,Shimaoré,0.0,0.0
15.0,Lycée des Lumières,Seconde,Commune de Koungou,1.0,,120.0,60.0,1.0,0.0,0.0,0.0,1.0,Université,0.0,Shimaoré,1.0,1.0
16.0,Lycée des Lumières,Seconde,Commune de Koungou,10.0,,60.0,240.0,4.0,1.0,0.0,1.0,1.0,Université ,0.0,Shimaoré,1.0,1.0
17.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,180.0,,180.0,300.0,3.0,0.0,0.0,1.0,1.0,Université,0.0,Shimaoré,1.0,0.0
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,540.0,,1200.0,240.0,9.0,1.0,0.0,0.0,1.0,,0.0,Shimaoré,0.0,1.0
16.0,Lycée des Lumières,Seconde,Commune de Koungou,300.0,,1680.0,420.0,5.0,0.0,0.0,1.0,0.0,Université,0.0,Shimaoré,1.0,0.0
16.0,Lycée de Dembéni,Première,Commune de Mamoudzou,0.0,,0.0,0.0,6.0,1.0,0.0,0.0,0.0,,1.0,Shimaoré,1.0,1.0
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,420.0,,180.0,840.0,9.0,1.0,1.0,0.0,1.0,Réflexion,1.0,Shimaoré,1.0,1.0
17.0,Lycée de Dembéni,1STI2D,Commune de Mamoudzou,30.0,,30.0,30.0,5.0,0.0,0.0,0.0,1.0,BUT,0.0,Shimaoré,1.0,1.0
