"Age","Etablissement","Classe","Domicile","Temps_Maths.mn.","Auto_eval_Maths","Temps_Sciences.mn.","Temps_Francais.mn.","Moyenne_Maths","Travail_Parents","Cours_Particuliers","Difficultes_6e","Changements_Parcours","Projets_BAC","Difficultes_Langue","Langue_Maternelle","Ne_Mayotte","Acces_Internet"
16,"Lycée des Lumières","Seconde","Commune de Mamoudzou",300,NA,1680,420,7,0,0,0,0,"université",1,"shimaoré",1,0
16,"Lycée des Lumières","Seconde","Commune de Koungou",120,NA,240,120,5,0,0,0,1,"bts",0,"shimaoré",1,1
15,"Lycée des Lumières","Seconde","Commune de Koungou",120,NA,180,240,7,1,0,0,0,"université",0,"shimaoré",1,1
15,"Lycée des Lumières","Seconde","Commune de Koungou",120,NA,60,120,8,0,0,1,1,"université",0,"shimaoré",0,0
15,"Lycée des Lumières","Seconde","Commune de Koungou",1,NA,120,60,1,0,0,0,1,"université",0,"shimaoré",1,1
16,"Lycée des Lumières","Seconde","Commune de Koungou",10,NA,60,240,4,1,0,1,1,"université",0,"shimaoré",1,1
17,"Lycée des Lumières","Seconde","Commune de Mamoudzou",180,NA,180,300,3,0,0,1,1,"université",0,"shimaoré",1,0
16,"Lycée des Lumières","Seconde","Commune de Mamoudzou",540,NA,1200,240,9,1,0,0,1,"université",0,"shimaoré",0,1
16,"Lycée des Lumières","Seconde","Commune de Koungou",300,NA,1680,420,5,0,0,1,0,"université",0,"shimaoré",1,0
16,"Lycée de Dembéni","Première","Commune de Mamoudzou",0,NA,0,0,6,1,0,0,0,"université",1,"shimaoré",1,1
17,"Lycée de Dembéni","Première","Commune de Mamoudzou",420,NA,180,840,9,1,1,0,1,"réflexion",1,"shimaoré",1,1
17,"Lycée de Dembéni","Première STI2D","Commune de Mamoudzou",30,NA,30,30,5,0,0,0,1,"but",0,"shimaoré",1,1
16,"Lycée des Lumières","Seconde","Commune de Koungou",420,NA,480,120,9,0,0,1,0,"université",0,"shimaoré",0,0
16,"Lycée de Dembéni","Première","Commune de Chiconi",180,NA,240,180,5,1,0,0,0,"bts",0,"kibushi",1,1
16,"Lycée des Lumières","Seconde","Commune de Koungou",420,NA,480,360,9,0,0,1,1,"université",0,"shimaoré",0,0
16,"Lycée de Dembéni","Première","Commune de M'Tsangamouji",30,NA,30,30,5,1,0,0,0,"bts",0,"kibushi",1,1
17,"Lycée de Dembéni","Première","Commune de Dembeni",240,NA,240,180,6,0,0,0,0,"université",0,"shimaoré",1,1
16,"Lycée de Dembéni","Première","Commune de Mamoudzou",480,NA,360,240,7,1,0,1,0,"université",0,"shimaoré",0,0
16,"Lycée de Dembéni","Première","Commune de Ouangani",360,NA,300,240,6,1,0,0,1,"université",0,"shimaoré",1,0
17,"Lycée des Lumières","Terminale","Commune de Koungou",180,NA,600,120,5,1,0,0,0,"université",1,"shimaoré",1,1
17,"Lycée de Dembéni","Première","Commune de Mamoudzou",20,NA,20,60,4,0,0,0,0,"université",0,"shimaoré",0,1
17,"Lycée des Lumières","Terminale","Commune de Koungou",180,NA,360,60,8.5,1,0,1,1,"université",1,"shimaoré",1,1
17,"Lycée de Dembéni","Première","Commune de M'Tsangamouji",240,NA,180,120,8,1,0,0,0,"université",0,"kibushi",1,1
19,"Lycée des Lumières","BTS","Commune de Mamoudzou",0,NA,60,30,7,1,0,1,0,"bts",0,"shimaoré",1,1
18,"Lycée des Lumières","Terminale","Commune de Mamoudzou",0,NA,240,60,5,1,0,0,0,"université",0,"shimaoré",1,1
15,"Lycée de Mamoudzou Nord","Seconde","Commune de Dembeni",60,NA,60,60,5,0,0,0,0,"ecole_de_commerce",0,"shimaoré",1,1
16,"Lycée de Mamoudzou Nord","Seconde","Commune de Koungou",240,NA,60,240,4,0,0,0,1,"université",1,"shimaoré",1,0
16,"Lycée des Lumières","Première","Commune de Mamoudzou",0,NA,300,300,2,1,0,0,0,"université",0,"shimaoré",1,1
17,"Lycée des Lumières","Terminale","Commune de Koungou",0,NA,30,120,2,0,0,0,0,"université",0,"shimaoré",1,1
20,"Lycée des Lumières","BTS","Commune de Mamoudzou",120,NA,180,60,4,0,0,1,1,"université",0,"shimaoré",1,0
16,"Lycée des Lumières","Première","Commune de Koungou",0,NA,180,120,4,1,0,1,1,"ecole_spécialisée",0,"shindzouani",0,1
17,"Lycée des Lumières","Terminale","Commune de Koungou",120,NA,360,120,8.5,1,0,0,1,"université",1,"shimaoré",1,1
16,"Lycée des Lumières","Seconde","Commune de Koungou",300,NA,120,60,8,0,0,0,0,"université",1,"shimaoré",1,1
18,"Lycée des Lumières","Terminale","Commune de Mamoudzou",300,NA,420,720,6,1,0,0,0,"université",0,"français",1,1
16,"Lycée des Lumières","Première","Commune de Koungou",720,NA,480,480,8,1,0,0,1,"université",0,"shimaoré",1,1
18,"Lycée des Lumières","Terminale STMG","Commune de Koungou",60,NA,600,120,2,0,0,0,1,"université",0,"shimaoré",1,0
16,"Lycée des Lumières","Seconde","Commune de Koungou",60,NA,60,0,5,0,0,0,0,"bts",0,"shimaoré",1,0
15,"Lycée des Lumières","Première ST2S","Commune de Koungou",0,NA,180,300,7,1,0,0,0,"université",0,"shimaoré",0,1
19,"Lycée des Lumières","Terminale","Commune de Mamoudzou",0,NA,120,120,1,1,0,0,1,"travailler",0,"français",0,1
17,"Lycée des Lumières","Terminale","Commune de Mamoudzou",0,NA,0,120,1.58,0,0,0,0,"université",1,"shimaoré",1,1
17,"Lycée des Lumières","Terminale STMG","Commune de Bandraboua",360,NA,420,120,5,0,0,0,0,"bts",0,"shimaoré",1,1
18,"Lycée des Lumières","Terminale","Commune de Mamoudzou",0,NA,120,600,2,0,0,1,0,"bts",0,"shimaoré",1,0
17,"Lycée des Lumières","Seconde","Commune de Koungou",60,NA,60,60,5,1,0,0,1,"université",0,"shimaoré",0,1
17,"Lycée des Lumières","Première STD2A","Commune de Koungou",60,NA,0,0,3,1,0,1,1,"ecole_spécialisée",1,"autres",1,1
15,"Lycée des Lumières","Seconde","Commune de Koungou",60,NA,60,120,4,1,0,0,0,"université",1,"shimaoré",1,1
16,"Lycée des Lumières","Première STMG","Commune de Mamoudzou",300,NA,0,120,9,0,0,0,0,"université",0,"shimaoré",1,1
16,"Lycée des Lumières","Seconde","Commune de Mamoudzou",300,NA,60,240,2,1,0,0,0,"université",0,"malgache",0,1
18,"Lycée des Lumières","Terminale","Commune de Koungou",3,NA,0,120,3,1,0,0,1,"bts",0,"shimaoré",1,1
19,"Lycée de Mamoudzou Nord","Terminale OTM","Commune de Koungou",60,NA,0,30,7,0,0,1,1,"université",1,"shimaoré",1,1
15,"Lycée des Lumières","Seconde","Commune de Mamoudzou",0,NA,180,360,6,0,0,0,0,"université",0,"autres",0,0
20,"Lycée des Lumières","Terminale","Commune de Koungou",60,NA,60,120,2,1,0,0,1,"université",0,"shimaoré",0,1
17,"Lycée des Lumières","Première","Commune de Koungou",120,NA,30,240,3,0,0,1,1,"ecole_spécialisée",0,"shimaoré",0,1
17,"Lycée des Lumières","Terminale","Commune de Koungou",120,NA,240,480,4,1,0,0,1,"ecole_spécialisée",0,"shindzouani",0,1
15,"Lycée des Lumières","Seconde","Commune de Mamoudzou",60,NA,120,60,5,1,0,1,1,"université",0,"shimaoré",1,1
18,"Lycée des Lumières","Terminale","Commune de Tsingoni",0,NA,0,0,4,0,0,1,0,"université",1,"shindzouani",0,0
15,"Lycée des Lumières","Seconde","Commune de Koungou",180,NA,300,60,9.5,1,0,1,1,"université",0,"malgache",1,1
17,"Lycée des Lumières","Première AGORA","Commune de Mamoudzou",120,NA,0,0,5,0,0,0,1,"bts",1,"shimaoré",1,0
18,"Lycée des Lumières","Terminale","Commune de Koungou",0,NA,120,120,5,0,0,0,0,"université",0,"shimaoré",1,1
15,"Lycée des Lumières","Seconde","Commune de Mamoudzou",5,NA,5,0,6,0,0,0,1,"université",0,"shimaoré",0,0
16,"Lycée des Lumières","Seconde","Commune de Mamoudzou",60,NA,30,120,6,0,0,0,0,"université",0,NA,0,1
17,"Lycée des Lumières","Première STMG","Commune de Koungou",120,NA,180,120,10,0,1,1,1,"université",0,"shimaoré",1,0
16,"Lycée des Lumières","Seconde","Commune de Koungou",180,NA,240,60,8,1,0,0,1,"réflexion",0,"français",0,1
16,"Lycée des Lumières","Première","Commune de Koungou",60,NA,120,60,5,1,0,1,0,"ecole_spécialisée",0,"français",1,1
16,"Lycée des Lumières","Seconde","Commune de Mamoudzou",360,NA,120,240,7,1,1,1,1,"université",0,NA,1,1
15,"Lycée des Lumières","Seconde","Commune de Koungou",60,NA,60,0,5,0,0,0,0,"université",0,"shimaoré",1,0
15,"Lycée des Lumières","Seconde","Commune de Koungou",0,NA,30,0,6,1,0,1,0,"ecole_spécialisée",1,"autres",0,1
17,"Lycée des Lumières","Terminale","Commune de Mamoudzou",180,NA,120,60,5,1,0,1,0,"université",0,"shimaoré",1,1
16,"Lycée des Lumières","Seconde","Commune de Mamoudzou",120,NA,300,180,5,0,0,1,0,"université",0,"shimaoré",1,1
16,"Lycée de Mamoudzou Nord","Terminale","Commune de Mamoudzou",0,NA,180,180,5,0,0,0,0,"bts",0,"shimaoré",0,0
18,"Lycée des Lumières","Terminale","Commune de Mamoudzou",60,NA,180,120,5,0,0,0,1,"université",0,"shimaoré",0,0
17,"Lycée des Lumières","Terminale","Commune de Mamoudzou",120,NA,720,360,8,0,0,1,1,"université",0,"shindzouani",0,1
16,"Lycée des Lumières","Seconde","Commune de Koungou",120,NA,120,180,9,1,0,1,0,"ecole_spécialisée",0,"shimaoré",0,1
17,"Lycée des Lumières","Terminale","Commune de Mamoudzou",120,NA,240,60,5,1,0,1,0,"université",0,"shimaoré",1,1
18,"Lycée des Lumières","Terminale STMG","Commune de Koungou",180,NA,540,240,6,0,0,0,0,"bts",0,"shimaoré",1,0
17,"Lycée des Lumières","Première MCV","Commune de Pamandzi",240,NA,120,60,8,1,0,0,1,"bts",0,"shimaoré",0,0
17,"Lycée des Lumières","Première STMG","Commune de Koungou",20,NA,60,120,6,1,0,0,0,"université",0,"shimaoré",1,1
16,"Lycée des Lumières","Seconde","Commune de Koungou",0,NA,120,0,4,1,0,0,0,"université",0,"shimaoré",1,1
16,"Lycée de Mamoudzou Nord","Première","Commune de Mamoudzou",60,NA,35,60,4,0,0,1,0,"université",0,"shimaoré",1,0
19,"Lycée des Lumières","BTS","Commune de Dembeni",240,NA,120,180,4,0,0,1,0,"université",1,"shimaoré",1,0
16,"Lycée de Mamoudzou Nord","Seconde","Commune de Koungou",300,NA,300,300,5,1,0,1,1,"université",0,"shimaoré",0,1
14,"Lycée des Lumières","Seconde","Commune de Koungou",0,NA,0,0,4,1,0,0,0,"université",0,"shimaoré",1,0
17,"Lycée des Lumières","Terminale STMG","Commune de Mamoudzou",60,NA,180,120,5,1,0,0,1,"université",0,"shimaoré",1,1
16,"Lycée de Mamoudzou Nord","Seconde","Commune de Koungou",420,NA,0,0,5,1,0,0,0,"ecole_spécialisée",1,NA,1,1
14,"Lycée des Lumières","Seconde","Commune de Mamoudzou",60,NA,120,120,5,1,1,0,1,"université",0,NA,1,1
15,"Lycée des Lumières","Seconde","Commune de Mamoudzou",240,NA,120,240,5,1,1,0,0,"réflexion",0,"shimaoré",1,1
17,"Lycée des Lumières","Première","Commune de Mamoudzou",60,NA,30,180,5.5,1,0,0,1,"université",0,NA,1,1
15,"Lycée des Lumières","Seconde","Commune de Mamoudzou",120,NA,120,180,1,1,0,0,0,"réflexion",0,"shimaoré",0,0
15,"Lycée des Lumières","Seconde","Commune de Tsingoni",120,NA,180,120,10,1,0,1,0,"université",0,"kibushi",1,0
15,"Lycée des Lumières","Seconde","Commune de Mamoudzou",30,NA,180,60,4.5,1,0,1,1,"université",1,"shimaoré",1,1
18,"Lycée des Lumières","Terminale","Commune de Koungou",420,NA,1260,300,3,0,0,0,0,"université",1,"shimaoré",1,0
18,"Lycée des Lumières","BTS","Commune de Mamoudzou",120,4,240,180,5,0,0,0,1,"ecole_de_commerce",1,"shimaoré",1,1
17,"Lycée de Dembéni","Première","Commune de Pamandzi",60,7,60,240,7,0,0,0,1,"université",0,"shimaoré",0,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",0,1,600,0,7,1,0,0,1,"travailler",0,"shimaoré",1,0
11,"Collège de Ouangani","Sixième","Commune de Ouangani",60,NA,60,120,9,1,1,1,1,"réflexion",1,"français",1,1
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",60,10,60,120,10,0,0,0,1,"réflexion",0,"kibushi",1,1
14,"Collège de Ouangani","Cinquième","Commune de Ouangani",0,5,120,60,8,1,1,0,0,"université",0,"français",1,0
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",240,8,60,180,9,1,0,0,0,"université",0,"shimaoré",1,0
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",120,NA,60,120,10,1,0,0,0,"ecole_spécialisée",0,"français",0,1
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",0,8,120,0,8,1,0,0,0,"université",0,"shimaoré",0,0
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",120,7,120,60,6,0,0,1,0,"université",0,"shimaoré",1,1
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",60,NA,240,600,1,1,0,1,0,"université",1,"shimaoré",0,1
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",60,9,60,60,5,1,0,1,0,"université",1,"kibushi",1,1
15,"Collège de Ouangani","Cinquième","Commune de Ouangani",0,7,60,600,8,1,1,0,0,"ecole_spécialisée",0,"shimaoré",1,1
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",0,4,240,120,4,1,1,0,0,"université",0,"shimaoré",1,0
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",60,7,60,60,4,1,0,0,0,"université",1,"shimaoré",1,1
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",0,8,180,120,7,1,1,1,0,"ecole_spécialisée",0,"shimaoré",1,1
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",60,10,120,60,5,1,0,0,0,"université",0,NA,0,1
12,"Collège de Ouangani","Cinquième","Commune de Ouangani",240,9,60,120,9,1,1,0,0,"université",1,"shimaoré",1,0
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",0,2,0,0,1,1,0,1,1,"ecole_spécialisée",1,"shimaoré",1,0
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",900,9,180,0,5,0,0,0,0,"université",0,"shimaoré",1,1
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",180,8,180,240,8,0,0,1,1,"université",0,"français",1,1
11,"Collège de Ouangani","Cinquième","Commune de Ouangani",60,10,20,50,10,1,0,1,1,"université",0,"shimaoré",1,1
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",120,8,180,60,8,1,0,0,0,"université",0,"français",0,1
13,"Collège de Ouangani","Cinquième","Commune de Ouangani",0,8,60,60,2,1,0,1,0,"université",1,"shimaoré",0,0
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,7,180,60,5,0,0,0,1,"réflexion",0,"shimaoré",1,1
13,"Collège de Ouangani","Quatrième","Commune de Ouangani",60,1,0,0,5,1,0,1,0,"université",0,"kibushi",1,1
14,"Collège de Ouangani","Quatrième","Commune de Ouangani",300,9,120,360,9,0,1,0,0,"université",1,"shimaoré",0,0
