"Age","Temps_Maths.mn.","Temps_Sciences.mn.","Temps_Francais.mn.","Moyenne_Maths","Travail_Parents","Cours_Particuliers","Difficultes_6e","Changements_Parcours","Difficultes_Langue","Ne_Mayotte","Acces_Internet","Langue_Maternelle_autres","Langue_Maternelle_français","Langue_Maternelle_kibushi","Langue_Maternelle_malgache","Langue_Maternelle_shimaoré","Langue_Maternelle_shindzouani","Projets_BAC_","Projets_BAC_bts","Projets_BAC_but","Projets_BAC_ecole_de_commerce","Projets_BAC_ecole_spécialisée","Projets_BAC_réflexion","Projets_BAC_travailler","Projets_BAC_université","Etablissement_Collège.de.Ouangani","Etablissement_Lycée.de.Dembéni","Etablissement_Lycée.de.Mamoudzou.Nord","Etablissement_Lycée.des.Lumières","Etablissement_Lycée.Younoussa.Bamana","Classe_BTS","Classe_Cinquième","Classe_Première","Classe_Première.AGORA","Classe_Première.MCV","Classe_Première.ST2S","Classe_Première.STD2A","Classe_Première.STI2D","Classe_Première.STMG","Classe_Quatrième","Classe_Seconde","Classe_Sixième","Classe_Terminale","Classe_Terminale.OTM","Classe_Terminale.STMG","Domicile_Commune.de.Bandraboua","Domicile_Commune.de.Chiconi","Domicile_Commune.de.Dembeni","Domicile_Commune.de.Koungou","Domicile_Commune.de.M.Tsangamouji","Domicile_Commune.de.Mamoudzou","Domicile_Commune.de.Ouangani","Domicile_Commune.de.Pamandzi","Domicile_Commune.de.Tsingoni"
16,300,1680,420,7,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16,120,240,120,5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,120,180,240,7,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,120,60,120,8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15,1,120,60,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,10,60,240,4,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
17,180,180,300,3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16,540,1200,240,9,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
16,300,1680,420,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,0,0,0,6,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,420,180,840,9,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17,30,30,30,5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,420,480,120,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,180,240,180,5,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
