Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,5h,,28h,7h,7,non,non,non,College kaweni 1,non,aller a l'université,oui,shimaore,oui,non,je sait pas,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,2 h,,4 h,2 h,moyens,non,non,non,,oui,de  faire une BTS,non,chimaoré,oui,,les fonction,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,2h,,3h,4h,7,oui,non,non,college majicavo,non,de poursuivre encore mai etude ba specialite techno ,non,le shimaore,oui,oui,les fonction parceque je comprent mieux,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,2h,,1h30,2h,8,non,non,oui,,oui,devenir dentiste( générale scientifique),non,le shimaorais,non,non, peu ,la majorité,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,1min,,2h,1h,1,non,non,non,majicavo lamir,oui,"devenir psychologue (SES ,SVT, histoire géopolitiques )",non,shimaoré,oui,oui,RIEN,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,10 min,,1h, 4H,4,oui,non,oui,collège majicavo,oui,entré dans le monde de la médecine ,non,maoré,oui,oui,j'aime pas les math car j'ai pas de bon résulta ,
17.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,3H,,3H,5H,3,NON,non,OUI ,AU COLLEGE DE MAJICAVO 77,OUI,faire des truc pour la contabilité,non,shimaore et shi comores (ngazidza),oui ,non ,je sais pas,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,9h,,20h,4h,9,oui,Non,Non,Au Collège de Kaweni 1,OUI,Je ne sais pas,Non,Chimaoré,Non,Oui,j'aime,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,5h,,28h,7h,5,non,non,oui,college kaweni 2,non,avoir un métier,non,chimaore,oui,non,j'amai,
16.0,Lycée de Dembéni,Première,Commune de Mamoudzou,0,,0,0,6,oui ,Non ,Non,,Non,Je sais pas,oui , Chimaoré,Oui,Oui ,Les chiffres ,
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou, 7h,,3h, 14h,Je dirais 9.,oui,Oui,Non,,Oui,je suis entrain d'y réfléchir car j'hésite.,oui,Le chimaoré.,oui,oui,"Je préfère les calcules mais je ne sais pas pourquoi je les aime ,peut-être parce que je trouve que c'est facile.",
17.0,Lycée de Dembéni,1STI2D,Commune de Mamoudzou,30min,,30min,30min,J'estime sur 5 ou plus si j'ai un bon prof,Non,Non ,Non,Collège de passamainty,Oui ,BUT sur la gestion ,non ,Le maoré ,Oui,oui,Cette année c'est dure avec notre prof,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,7h,,8h,2h,9,Non,Non,Oui,collège de koungou,Non,Réusir dans ma vie et avoir une bonne métier,Non,chimaoré,non,non ,Pythagore,
