Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
16,LPO DES LUMIER,203,MAMOUDZOU,5h,,28h,7h,7,non,non,non,College kaweni 1,non,aller a l'université,oui,shimaore,oui,non,je sait pas,
16 ans,lycée des lumières kawéni,203,koungou,2 h,,4 heures,2 heures,moyens,non,non,non,oui,oui,de  faire une BTS,non,chimaoré,oui,je sais pas,les fonction,
15,lyceé de lumiers,203,koungou,2h,,3h,4h,7,"oui, je ne connais pas leurs proffesion",non,non,college majicavo,non,de poursuivre encore mai etude ba specialite techno ,non,le shimaore,oui,oui 2,les fonction parceque je comprent mieux,
15,lycée des Lumières,203,KOUNGOU,2h,,1h30,2heures,8,non,non,"oui, en math en français et en histoires",oui avec mention trés bien,oui une amélioration,devenir dentiste( générale scientifique),non,le shimaorais,non,"non, peu ",la majorité,
15ans,lycée des lumière,203,koungou,1min,,2h,1h,1,non,non,non,majicavo lamir,oui,"devenir psychologue (SES ,SVT, histoire géopolitiques )",non,shimaoré,oui,oui,RIEN,
16,lycée des lumières ,second 3,koungou,10 min,,1h,toute une après midi,4,vendeuse,non,mathématique,collège majicavo,oui au niveau des langues,entré dans le monde de la médecine ,non,maoré,oui a mamoudzou,oui plusieurs devoir,j'aime pas les math car j'ai pas de bon résulta ,
17,lyceé de lumier,203,mamoudzou97600,3H,,3H,5H,3,NON,PAS TOUT LRS JOUR,OUI  MATHE,AU COLLEGE DE MAJICAVO 77,OUI EN 4 eme,faire des truc pour la contabilité,pas du tout,shimaore et shi comores (ngazidza),oui ,non ,je sais pas,
16,LPO des Lumières,203,Mamoudzou,9h,,20h,4h,9,Peut etre,Non,Non,Au Collège de Kaweni 1,"Oui, mon niveau ",Je ne sais pas,Non,Chimaoré,Non,Oui,j'aime,
16,LPO DES  LUMIERS,203,KOUNGOU,5h,,28h,7h,5,non,non,le math,college kaweni 2,non,avoir un métier,non,chimaore,oui,non,j''amai,
16,Lpo dembeni ,106,Mamoudzou ,0,,0,0,6,Agent de sécurité ,Non ,Non,Oui,Non,Je sais pas,Peut-être , Chimaoré,Oui,Oui plusieurs ,Les chiffres ,
17 ans,lycée de dembeni,103,Mamoudzou, 7h,,10 à 30 min par jour 210 min = 3h5min par semaine,2h par jour ce qui fait 14h par semaine,Je dirais 9.,Ma mère ne travaille pas et mon père fait du maçon.,"Oui , moi je fais partie du GENIUS, la cordet X ,j'ai donc la chance d'avoir des cours particuliers sur les maths ,et physiques. Et c'est 1h par semaine ,chaque jeudi soir.",Non pas vraiment.,en 3eme au college.,"Je n'ai pas vu de changement ,à pars le travaille régulier.",je suis entrain d'y réfléchir car j'hésite.,"Moi , c'est par rapport au rédaction ,j'ai un peu du mal à rédiger en sciences. Surtout en maths.",Le chimaoré.,oui.,"oui j'ai accès à l'internet ,et je fais tous mes devoirs avec. Je fais beaucoup de recherches","Je préfère les calcules mais je ne sais pas pourquoi je les aime ,peut-être parce que je trouve que c'est facile.",
17ans ,Lpo de démbeni ,1STI2D,Mamoudzou ,30min,,30min ,30min mais pas tous les jours ,J'estime sur 5 ou plus si j'ai un bon prof,Non ils ne travaillent pas,Non ,Non pas du tout,Collège de passamainty,Oui ya eu des changement j'ai évoluer en Français ,BUT sur la gestion ,Je pense pas ,Le maoré ,Oui,"Oui j'ai une accès internet,presque tous mes devoir ",Cette année c'est dure avec notre prof,
16,Lycée des lumiers,203,Trevani,7h,,8h,2h,9,Non,Non,Oui anglais et espagnol,collège de koungou,Non,Réusir dans ma vie et avoir une bonne métier,Nn,chimaoré,non,non ,Pythagore,
16ans ,Lycée de dembeni ,1STL,Chiconi ,3h,,4h,3h ,5,Ma mère ne travaille pas mon père oui. Il est menuiserir ,Non,Non,Au collège de chiconi,Non,Une fois le BAC obtenu j'aimerais continuer mes études en France pour faire un  BTS en biologie ,Non.,Kibouchi ,Oui ,Oui.,Suite arithmétiques je l'aime pas parceque c'est difficile j'y arrives pas a le faire. ,
16,Lycée des lumier,203,Trévani,7h,,8h,6h,9,non,Non,oui anglais ,Collège,oui les cours,Réusire avoir un bon métier pour on avenir,Non,chimaoré,non,non,Les pythagores,
16 ans ,Lycée Polyvalent de Dembéni,1er,M'tsangamouji ,30 min,,30 minutes ,30 minutes ,5,Poseur en canalisation(père),Non ,Non ,Oui ,Non ,Faire un BTS de 2ans ,Non ,Le kibushi,Oui ,Oui.,f(x)=ax²+bx+c. Oui ,
17 ans,Lycée Dembeni,Première ,Dembeni ,4 h,,4 heure aussi je dirais ,3heure,6,Non ils ne travaillent pas ,Non,Non,Au collège de ,Non,Continuer dans tous qui est étudie de la science ,Non,"Comorien, mahorais ",Oui,"Oui, la plupart des devoirs nécessite une connexion","Delta, c’est facile à faire ",
16ans,LPO DE DEMBENI,1re générale ,MAMOUDZOU,8H,,6H,4H,7,Oui pour mon tuteur ( en tant que vendeur ) et non pour ma mère ( mais elle fait couturière à domicile ).,Non ,"Oui . En mathématique , tous les cours sur la géométrie . Mais aussi en SVT sur toutes les notions .",Au Collège De Kwalé .,Non,Spécialités : mathématiques et physique-chimie . Mon projet actuel une fois le Bac obtenu est de partir en métropole pour faire des études de médecine .,Non,Mahoraise ,Non ,"Non , J'ai pas accès à un internet à la maison . Je pense que tous les devoirs de chaque matières fait nécessitaient une connexion . ","Je retiens aujourd'hui toutes les notions en mathématique car cela me permet d'être plus logique dans la vie , de me préparer à la pensée , de raisonner de manière soignée et de plus de résoudre tous les problèmes liés sur les activités de la vie quotidienne . Et c'est ce qui fait que je l'ai aiment autant .",
16 ans,Lpo de dembeni ,102,Ouangani,6h,,5h par semaine ,4h par semaine ,6 ,"Mon père : service civil , ma mère travaille pas ",Non ,Non ,Oui,Ouiii en 6 eme j’ai fait de l’allemand et j’ai changé en 5 eme pour faire de l’anglais ,Je prévois de passer le bac s avec les spe : SVT et PHYSIQUE CHIMIE après le bac je vais à l’université pour des études de santé ,Non je pense plutôt aux notions ,Shimaoré ,Oui,"Non j’en ai pas, une dizaine ",Une partie des équations vu en seconde parceque le prof expliquer bien et la trigonométrie car c’est le chapitre qu’on a fait il y’a à peine une semaine ,
17 ans,Lycée des Lumières,Terminale Générale ,Koungou,3 h,,10 heures ,Toute la semaine ,5,Oui ils sont tout deux enseignants ,Non,Non,Mayotte ,Non,J'envisage d'effectuer des études de médecine ,Plus ou moins ,Shimahorais ,Oui,Oui mon enseignement est à moitié basé sur la technologie ,Fonctions,
17 ans,Lycée polyvalent de Dembeni,1ere,Mamoudzou,20 min,,Environ 20 minutes,Environ 1h,4,Mes responsables légales ne travaille pas,Non,Non j'ai pas eu des difficultés en classe de 6eme,J'ai obtenu mon brevet au collège de Kwale (Tsounzou 1),"Je ne pas une réponse claire pour cette question concernant les changements des parcours , donc je ne sais pas exactement.",Une fois obtenu mon BAC j'aimerais faire des formations a fini de travailler,Non,Je parle le Chi-mahore & Le Chi-Comores,Non je suis née en Anjouan,Pour moi je l'habitude de travailler sur des ordinateurs du coup sûr une échelle de 1 à 10 je suis à 8 pour l'utilisation d'Internet,Je ne sais pas exactement,
17 ans,Lycée des lumières ,Terminale ,Koungou ,3h,,6h,1h,8.50,Mon papa est chef adjoint de la police municipale ,Non ,"Oui , en anglais ",Koungou Mayotte ,"Oui , j'ai voulue faire SES j'ai me retrouvée en physique chimie en 1 ère ","Intégré l'université de biologie , Svt et physique chimie ",Oui le français est un peu complexe ,Le shimaoré ,Oui,"Oui , Tout les devoirs mdr ",J'aime les mathématiques grâce à l'argent j'aime beaucoup compté etc ,
17 ans,Lpo de dembeni ,105,MTSANGAMOUJI ,4h,,3h,2h,8,Oui. Magasiner pour mon père et ASH au CHM pour ma mère ,Non,Non ,College de mtsangamouji ,Non,Étude de médecine.  Physique math svt actuellement et Physique svt plus math complémentaire en terminale ,J'ai pas de difficultés particulières ,Malgache(shibushi),Oui,Ouii. Moins de la moitié. ,"Statistiques, dérivé, identité remarquable, la langues mathématiques, suites, fonction polynôme, etc. J'aime parce que je comprend avant tout et parce que j'aime les maths. Je suis moins emballé par la géométrie , ni trigonométrie etc..",
19 ans ,Lycée des Lumières ,BTS SAM 1,Mamoudzou,0,,1heures ,30 minutes ,7,Redacteur territorial,Non,Anglais ,Collège de Chiconi,Je ne sais pas ,Je fais déjà un BTS,Je sais pas ,Chim1oré,Oui,"Oui, 1 ou 2 ça dépend ",Le BFR et le FR,
18,Lycée Des Lumières (Mayotte),Terminal ,Mamoudzou ,0,,4 heures ,1 heure ,5,Mon père est agent d'entretien et ma mère femme au foyer ,Non ,Aucune difficulté ,Collège K2,Non,Faire une Licence de géographie. J'ai comme spécialité sciences numérique informatiques et histoire géographie géopolitique et sciences politiques ,Non ,Shimahorais,Oui ,Oui j'ai internet. Tout les devoirs si j'ai pas compris une chose ,Les théorèmes car j'aime la géométrie ,
15,Lycée de Mamoudzou nord ,206,Dembeni ,1h,,1h30,1h,5,Non ,Non ,Pas vraiment ,Oui ,Non,Allez dans une école de commerce puis ouvrir mon entreprise. ,Pas vraiment ,Shimaore ,Oui,Oui en majorité pour moi tout ,Autre ,
16,lycée Mamoudzou nord ,seconde 3,koungou,4h,,1h ,4h ,4,non,non,non pas forcement ,collège majicavo,"oui, en maths et en sciences ",De continuer à l'université. Science économique et sociale ,oui,Le shimaoré ,Oui,Non pas accès a internet ,Nombre rationnels ,
16 ans ,Lycée des lumières ,Première ( 103 ),Kaweni,0,,2h pour les sciences 1h pour les sciences physiques et 1h pour les sciences de la vie ,5h suivant la lecture aussi ,2,Seul mon père travaille ,Non Aucun ,Non aucunes difficulté constater ,J'ai obtenue le brevet ,Non aucun changement grave ,Continuer la fac ( Les littérature et la langue )  ,Non,Le shimaoré,Oui,Oui j'ai accès ( beaucoup de travaille nécessitant notamment à la recherche ),Aucune notions ,
17 ans,Lycée des lumières ,Terminale ,Koungou,0,,30 min,2h,2,Femme au foyer ,Non,Non,Collègue majicavo ,Non,Devenir enseignant avec la spécialité Humanité littérature et philosophie ,Non,Le shimaorais,Oui,Oui,La géométrie ,
20,Lycée des lumières (Mamoudzou Nord),BTS PASSERELLE ,Kaweni ,2h,,3h,1h,4,Sans profesion,Non,Français et Anglais,Déjà obtenu mon brevet (collège de passamainty),Quand j'étais en 5 ème j'étais 1er de la classe jusqu'à 3ème. ,Gestion -Administrative ,Non les calculs ,Shimaorée,Oui je suis française ,Non,Oui j'aime la fonction et la marge brut et les calcule.s,
16,Lycée des lumières ,1ST2S ,Koungou ,0,,3,2,4,Femme de ménage ,Non,"Physique ,  mathématiques ",Collège de koungou ,Plus je m'améliore plus les matières deviennent difficiles ,Faire un bac+2 et travailler en tant que aide soignante ,Non,chindzouani,Non,2,"Y a beaucoup de formules et j'arrive pas à les retenir par cœur , ça m'arrive de les confondre ",
17 ans ,Lycée des lumières ,Terminale ,Koungou,2h,,6h,2h,8.50,Police municipale ,Non ,Non,Koungou Mayotte ,Oui en 1ere je me suis perdue ,"Continuer avec une licence , Spécialité Svt et Physique chimie ",Oui je n'ai pas totalement acquis la langue française.,Shimaoré / Shibouchi,Oui,Oui ,"Les Algorithmes , j'aime les maths car c'est relié à la vie peux importe où nous sommes on a besoin de maths",
16,Lumières,213,Koungou,5h,,2h,1h,8,Non chômage,Non,Non,Mention très bien,Non,Maths /physique/ ses,Je pense,Shimaore,Oui,"Oui, plus de 10","Les statistiques car on utilise moins le cahier, on utilise beaucoup la calculatrice",
18,Lycée des Lumières ,Terminale ,Mamoudzou ,5 h,,6-7 heures ,1-2 heures ,6,Fonctionnaires et commerçant ,Non,Non,Collège Kaweni 2,RAS ,Domaine scientifique ,Non,Français,Oui,"Oui, la plupart ",Logarithme népérien. Facile et amusant ,
16 ans ,Lycée des lumières ,104,Koungou ,12 h,,8 heure par semaine ,8 heure par semaine ,8,Oui ils travaillent ,Non ,Non j ai pas éprouvé de difficulté ,Au collège majicavo lamir ,Oui ,Physique chimie math et svt ,Non ,Shimaorais ,Oui ,Oui j ai accès à internet presque tout mes devoirs ,Énormément de notions comme dans les équations ou d autre c est la manière de procédé afin d obtenir le résultat qui a fait que j ai aimez ses notions ,
18,Lycée de lumière,STMG,Koungou,1h,,10,O,2,Nn il ne travaille pas,Nn,Nn,Collège k2,Je suis devenu plus responsable,Pour suivre me études,Nn,Le chimaore,Oui,Nn,Ax+by,
*16ans,*lycée des lumières kaweni,*Seconde,*koungou ,1h,,*1heure,*0heure,*5,*elle travaille pas,*non,*non,*collège kaweni 1,*non,*après bac OTM faire 2ans d'études puis travailler ,*non,*comorien,*oui,*non et au moins 4devoirs nécessite une connexion ,*je retiens pas les notions ,
