Collège et lycée, commune
collège BANDRELE, Bandrélé
collège CHICONI, Chiconi
collège DEMBENI, Dembéni
collège DOUJANI, Mamoudzou
collège DZOUMOGNE, Dzoumogné
collège KANI-KELI, Kani-Kéli
collège KAWENI, Mamoudzou
collège K2, Mamoudzou 
collège KOUNGOU, Koungou
collège KWALE, Mamoudzou
collège LABATTOIR,Labattoir
collège MAJICAVO, Koungou
collège M'GOMBANI, Mamoudzou
collège M'TSANGAMOUJI, M'Tsangamouji
collège M'TZAMBORO, M'Tzamboro
collège PAMANDZI, Pamandzi
collège PASSAMAINTY, Passamainty
collège Ouangani, Ouangani
collège SADA, Sada
collège TSIMKOURA, Tsimkoura
collège TSINGONI, Tsingoni
collège DE BOUENI, Bouéni
LP BANDRELE, Bandrélé
L.P.O CHIRONGUI, Chirongui
L.P.O DEMBENI, Dembeni
L.P.O de DZOUMOGNE, Dzoumogné
L.P de KAHANI, Kahani 
L.P de KAWENI, Mamoudzou 
L.P.O de MAMOUDZOU, Mamoudzou 
L.P.O de PETITE TERRE, Petite-Terre 
L.P.O de SADA, Sada 
L.P.O des lumières, MAMOUDZOU Nord 
Lycée CHIRONGUI, Chirongui
Lycée DEMBENI, Dembeni
Lycée de DZOUMOGNE, Dzoumogné
Lycée de KAHANI, Kahani 
Lycée de KAWENI, Mamoudzou 
Lycée de MAMOUDZOU, Mamoudzou 
Lycée de PETITE TERRE, Petite-Terre 
Lycée de SADA, Sada 
Lycée des lumières, MAMOUDZOU Nord
