Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,300,,1680,420.0,7.0,0.0,0,0,College kaweni 1,0,Université,1,Shimaoré,1,0,,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,120,,240,120.0,5.0,0.0,0,0,,1,BTS,0,Shimaoré,1,,Fonctions,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,120,,180,240.0,7.0,1.0,0,0,college majicavo,0,Université ,0,Shimaoré,1,1,Fonctions,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,120,,60,120.0,8.0,0.0,0,1,,1,Université,0,Shimaoré,0,0, Toute,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,1,,120,60.0,1.0,0.0,0,0,majicavo lamir,1,Université,0,Shimaoré,1,1,Aucune,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,10,,60,240.0,4.0,1.0,0,1,collège majicavo,1,Université ,0,Shimaoré,1,1,Aucune,
17.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,180,,180,300.0,3.0,0.0,0,1,AU COLLEGE DE MAJICAVO 77,1,Université,0,Shimaoré,1,0,,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,540,,1200,240.0,9.0,1.0,0,0,Au Collège de Kaweni 1,1,,0,Shimaoré,0,1,Toute,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,300,,1680,420.0,5.0,0.0,0,1,college kaweni 2,0,Université,0,Shimaoré,1,0,Aucune,
16.0,Lycée de Dembéni,Première,Commune de Mamoudzou,0,,0,0.0,6.0,1.0,0,0,,0,,1,Shimaoré,1,1,Chiffres,
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,420,,180,840.0,9.0,1.0,1,0,,1,Réflexion,1,Shimaoré,1,1,Calculs,
17.0,Lycée de Dembéni,1STI2D,Commune de Mamoudzou,30,,30,30.0,5.0,0.0,0,0,Collège de passamainty,1,BUT,0,Shimaoré,1,1,Aucune,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,420,,480,120.0,9.0,0.0,0,1,collège de koungou,0,Université,0,Shimaoré,0,0,Théorème de Pythagore,
16.0,Lycée de Dembéni,Première,Commune de Chiconi,180,,240,180.0,5.0,1.0,0,0,collège de chiconi,0,BTS,0,kibushi,1,1,Suites arithmétiques,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,420,,480,360.0,9.0,0.0,0,1,,1,Université,0,Shimaoré,0,0,Théorème de Pythagore,
16.0,Lycée de Dembéni,Première,Commune de M'Tsangamouji,30,,30,30.0,5.0,1.0,0,0, ,0,BTS,0,kibushi,1,1,Fonctions,
17.0,Lycée de Dembéni,Première,Commune de Dembeni,240,,240,180.0,6.0,0.0,0,0, ,0,Université,0,Shimaoré,1,1,formule du discriminant,
16.0,Lycée de Dembéni,Première,Commune de Mamoudzou,480,,360,240.0,7.0,1.0,0,1,Collège De Kwalé,0,Université,0,Shimaoré,0,0,Toute,
16.0,Lycée de Dembéni,Première,Commune de Ouangani,360,,300,240.0,6.0,1.0,0,0,,1,Université,0,Shimaoré,1,0,Equations-trigonométrie,
17.0,Lycée des Lumières,Terminale,Commune de Koungou,180,,600,,5.0,1.0,0,0, ,0,Université,1,Shimaoré,1,1,Fonctions,
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,20,,20,60.0,4.0,0.0,0,0,collège de Kwale ,0,Université,0,Shimaoré,0,1,,
